中文单位名,英文单位名
,"School of Materials Science and Engineering, University of Xiangtan, Xiangtan, Hunan 411100, China
;"
,"School of Materials Science and Engineering, Xi′an University of Technology, Xi'an, 710048, China
;"
,"School of Materials Science and Engineering,Shanghai University, Shanghai, 200072, China
;"
,"School of Mathematics and Computer Engineering, Xi'an Univ. of Arts and Science, Xi'an, China ;"
,"School of Mathematics and Computer Engineering, Xi'an Univ., Xi'an 710065, China ;"
,"School of Mathematics and Computer Engineering, Xi'an University of Arts and Science, Xi'an 710065, China ;"
,"School of Mathematics and Computer Engineering, Xi'an University of Arts and Science, Xi'an, 710065 Shaanxi, China ;"
,"School of Mathematics and Computer Science, Guangxi Science Technology Normal University, Laibin, Guangxi 546199, China
;"
,"School of Mathematics and Computer Science, Hezhou University, Hezhou, Guangxi"
,"School of Mathematics and Computer Science, Hu'nan Normal University, Changsha, China ;"
,"School of Mathematics and Computer Science, Ningxia Normal University, Guyuan, Ningxia"
,"School of Mathematics and Computer Science, Panzhihua University, Panzhihua city, Sichuan Province"
,"School of Mathematics and Computer Science, Panzhihua University, Panzhihua, Sichua"
,"School of Mathematics and Computing, Hunan First Normal College, Changsha, 410000, China
;"
,"School of Mathematics and Computing, Hunan First Normal College, Changsha, 410205, China
;"
,"School of Mathematics and Information Engineering, Lianyungang Teachers College, Lianyungang, China
;"
,"School of Mathematics and Information Science, Baoji Univ. of Arts and Sciences, Baoji, 721013, China
;"
,"School of Mathematics and Information Science, Beifang Univ. of Nationalities, Yinchuan, 750021, China
;"
,"School of Mathematics and Information Science, Weinan Teachers University, Weinan 714000, Shanxi, China ;"
,"School of Mathematics and Statistic, Qiannan Normal University for Natinalities, Douyun, 558000, China
;"
,"School of Mathematics and Statistics, Guizhou University of Finance & Economics, Guiyang, Guizhou 550025, China
;"
,"School of Mathematics and Statistics, Hubei Science University, Xianning, 437100, Hubei, China ;"
,"School of Mathematics and Statistics, Xi'an Electronic and Science University, Xi'an 710126, China ;"
,"School of Mathematics and Statistics, Xi'Dian University, Xian"
,"School of Mathematics and Statistics, Xi'dian University, Xi'an, China ;"
,"School of Mathematics, Zhengzhou University of Areonautics, Zhengzhou, 450015, China
;"
,"School of Measurement-Control Technol. and Communications Eng., Harbin Univ. of Sci. and Technol., Harbin, China ;"
,"School of Mechanical & Automotive Engineering, South Chine University of Technology, Guangzhou, China ;"
,"School of Mechanical & Electrical Engineering, Zhejiang Textile & Fashion College, Ningbo, Zhejiang, China ;"
,"School of Mechanical and Automotive Engineering, RMIT University, Bundoora"
,"School of Mechanical and Automotive Engineering, Shanghai University of Engineer Science, Shanghai, 201620, China
;"
,"School of Mechanical and Electric Engineering Technology, Tongliao Technical College, Tongliao 028000, China ;"
,"School of Mechanical and Electrical Engineering, Guilin Univ. of Electronic Technology, Guilin, 541004, China
;"
,"School of Mechanical and Electrical Engineering, Jinggangsha nUniversity, Ji'an, China ;"
,"School of Mechanical and Electrical Engineering, Xi‘an, Xi‘an University of Architecture and Technology, Xi‘an, Shaanxi Province, China
;"
,"School of Mechanical and Electrical Engineering, Xinlian College of Henan Normal University, Zhengzhou, 451400, China
;"
,"School of Mechanical and Electrical Engineering, Xuzhou College of Industrial and Technology, Xuzhou, Jiangsu Province, China;"
,"School of Mechanical and Electrical Engineering, Zhejiang Textile and Fashion College, Zhejiang Province, China ;"
,"School of Mechanical and Electrical, Harbin University of Engineering, Harbin, China ;"
,"School of Mechanical and Electronic Eng., Chuzhou Univ., Chuzhou 239000, China ;"
,"School of Mechanical and Electronic Eng., Sanming Univ., Sanming, Fujian, China ;"
,"School of Mechanical and Electronic Engineering, Chaohu College, Hefei, 238000, China
;"
,"School of Mechanical and Electronic Engineering, Zhejiang Textile and Fashion College, NingBo, China ;"
,"School of Mechanical and Electronic Information, University of Geosciences, Wuhan, 430074, China
;"
,"School of Mechanical and Materials Engineering, Jiujiang College, Jiujiang 332005, China ;"
,"School of Mechanical and Power Engineering, Dalian University of Science, Dalian, China ;"
,"School of Mechanical and Power Engineering, HeNan Ploytechnic Universtiy, Jiaozuo, China ;"
,"School of Mechanical and Power Engineering, Henan Ploytechnic Universtiy, Jiaozuo, China ;"
,"School of Mechanical and Power Engineering, North University, Taiyuan, 030051, China
;"
,"School of Mechanical and Precision Instrument Engineering, Xi'an Technology University, Xi'an, China ;"
,"School of Mechanical Electrization Engineering, Talimu University, Alar, China ;"
,"School of Mechanical Eng., Shandong Univ., Jinan, China ;"
,"School of Mechanical Engineering ,  Gui Zhou University, GuiYang"
,"School of Mechanical Engineering and Automation, University of Science and Technology Liao Ning, Anshan Liaoning 114051, China ;"
,"School of Mechanical Engineering And Automation, Xi Hua University 610039, Cheng Du, China ;"
,"School of Mechanical Engineering Liaoning Equipment Manufacture Collage, Shenyang, China ;"
,"School of Mechanical Engineering of Hubei University of Technology, Wuhan, Hubei 430068, China
;"
,"School of Mechanical Engineering, Baoji University of Atrs and Science, Baoji, 721016, China
;"
,"School of Mechanical Engineering, Dalian Universities of Technology, Dalian, China ;"
,"School of Mechanical Engineering, Dong Hua University, Shanghai, 201600, China
;"
,"School of Mechanical Engineering, Hangzhou Dian Zi University, Hangzhou, 310018, China
;"
,"School of Mechanical Engineering, Huzhong University of Science and Technology, Wuhan, China ;"
,"School of Mechanical Engineering, Jing Chu University of Technology, Jingmen, 448000, China
;"
,"School of Mechanical Engineering, Jinzhong University, Jinzhong"
,"School of Mechanical Engineering, Nanjing University of Technology and Engineering, Nanjing, 210094, China
;"
,"School of Mechanical Engineering, Nanjing Univisity of Science and Technology, Nanjing, 210094, China
;"
,"School of Mechanical Engineering, North Univeristy of China, Taiyuan, 030051, China
;"
,"School of Mechanical Engineering, Panzhihua University, Panzhihua, Sichuan"
,"School of Mechanical Engineering, Purdue University Fort Wayne, Fort Wayne"
,"School of Mechanical Engineering, Purdue University, West Lfayette"
,"School of Mechanical Engineering, Quzhou College, Quzhou, China ;"
,"School of Mechanical Engineering, Shandng University of Tecnology, Zibo, 255049, China
;"
,"School of Mechanical Engineering, Shanghai Jiatong University, Shanghai, China ;"
,"School of Mechanical Engineering, Shen Yang University, Shenyang, Liaoning, China ;"
,"School of Mechanical Engineering, Shenyang Jianzhu University, Shenyang"
,"School of Mechanical Engineering, Shenyang Polytechnic College, Shenyang, Liaoning, China;"
,"School of Mechanical Engineering, Tiyuan University of Science and Technology, Taiyuan, 030024, China
;"
,"School of Mechanical Engineering, Tongling College, Tongling, China ;"
,"School of Mechanical Engineering, University of Leeds, Leeds"
,"School of Mechanical Engineering, University of Science and Technology of Anhui, Fengyang, China;"
,"School of Mechanical Engineering, University of Science and Technology of Anhui, Fengyang, China;"
,"School of Mechanical Engineering, University of Shandong, Jinan, China ;"
,"School of Mechanical Engineering, University of Shanghai for Science &Technology, Shanghai, 200093, China
;"
,"School of Mechanical Engineering, University of Ulsan, Mugeo-dong, Nam-gu, Ulsan"
,"School of Mechanical Engineering, University of Ulsan, Mugeo-dong, Nam-gu, Ulsan"
,"School of Mechanical Engineering, University of Ulsan, Mugeo-dong, Nam-gu, Ulsan"
,"School of Mechanical Engineering, University of Ulsan, Ulsan"
,"School of Mechanical Engineering, Weifang College, Weifang, 261061, China
;"
,"School of Mechanical Engineering, Wuhan Polytechnic College of Software and Engineering, Wuhan, 430205, China
;"
,"School of Mechanical Engineering, Wuhan Polytechnic College of Software and Engineering, Wuhan, 430205, China
;"
,"School of Mechanical Engineering, Wuhan Polytechnic College of Software and Engineering, Wuhan, China ;"
,"School of Mechanical Engineering, Wuhan Polytechnic College of Software and Engineering, Wuhan, China ;"
,"School of Mechanical Engineering, Yangtze River University, Jingzhou, Hubei 434023, China ;"
,"School of Mechanical Science and Engineering Information, Univ. of Sci. and Tech, Wuhan, Hubei, China ;"
,"School of Mechanical Science and Engineering, Huazhong University ofScience and Technology, Wuhan, China ;"
,"School of Mechanical Science and Engineering, Huzhong University of Science and Technology, Wuhan, 430074, China
;"
,"School of Mechanical Science and Engineering, Jilin University Changchun, Jilin, China ;"
,"School of Mechanical, Electrical and Information Engineering, Shangdong University, Weihai, Shandong, China ;"
,"School of Mechanical, Industrial, and Manufacturing Engineering, Oregon State University, Corvallis"
,"School of Mechanical, Industrial, and Manufacturing Engineering, Oregon State University, Corvallis"
,"School of Mechanics, Xi'an Universityof Science and Technology, Xi'an, Shaanxi 710054, China
;"
,"School of Mechatronic Engineering and Automation of Shanghai University, Shanghai, 200072, China
;"
,"School of Mechatronic Engineering, Xuzhou College of Industrial and Technology, Xuzhou, 221140, China
;"
,"School of Mechatronics and Vehicle Engineering, East China Jiao-tong University, Nanchang, 330013, China
;"
,"School of Mechatronics Engineering and Automation ,  Shanghai University, Shanghai"
,"School of Mechatronics Engineering and Automation, National University of Denfense Technology, Changsha, China;"
,"School of Mechatronics Engineering andAutomation, ShanghaiUniversity, Shanghai, 200072, China
;"
,"School of Mechatronics Engineering, Daqing Normal University, Daqing, Heilongjiang"
,"School of Mechatronics Engineering, Jiangxi University Science and Technology, Ganzhou, China ;"
,"School of Medicine, Silaoziag University, Zhejing Shaoxing, China ;"
,"School of Mining and Surveying Engineering ,  Hebei University of Engineering, Handan"
,"School of Mining, Liaoning University of Engineering and Technology, Fuxin, 123000, China
;"
,"School of Missile Engineering, Rocket Engineering University, Xi'an, 710025, China
;"
,"School of Municipal and Environmental Engineering, Shenyang Jianzhu University, Shenyang"
,"School of Music of Shandong University of Arts, Jinan, Shandong"
,"School of Naval, Aeronautical University, Department of Aviation Mechanical Engineering and Management, Qingdao Branch, Qingdao, 266041, China
;"
,"School of Navigation and Aerospace Target Eng., Info. Eng. Univ., Zhengzhou, China ;"
,"School of Nuclear Technology and Chemical and Biology, Hubei University of Science and Engineering, Xianning, China ;"
,"School of Nursing, College of Medicine, Chung Shan Medical University, China;"
,"School of Ocean Science and Technology, Kerala University of Fisheries and Ocean Studies, Panangad, Kochi, Kerala
;"
,"School of Optoelectronic Information Science and Engineering, Suchoo University, Suzhou, 215006, China
;"
,"School of Optoelectronics of Xi'an Technological University, Xi'an, China ;"
,"School of Physical Culture, Jiangxi Teachers College, Yingtan, Jiangxi"
,"School of Physical Electronics, Universicy of Electronic Science and Technology of China, Chengdu, 611731, China
;"
,"School of Physical Science and Technology, Sochoow University, Suzhou, 215006, China
;"
,"School of Physics and Electric Information, Huang gang Normal University, Huang gang, Hubei, 438000, China
;"
,"School of Physics and Electrical Engineering of Anqing Normal College, Anqing, China ;"
,"School of Physics and Electrical Engineering, Herbin Normal University, Harbin 150025, China ;"
,"School of Physics and Electronic Information, Yan'an Univ., Yan'an, 716000, China
;"
,"School of Physics and Mechanical and Electrical Engineering, Zunyi Normal College, Zunyi, China ;"
,"School of Physics and Optoelectronic Engineering, Nanjing University of Information and Science Technology, Nanjing, China ;"
,"School of Power and Energy, Northweatern Polytechnical University, Xi'an, China ;"
,"School of Power and Energy, Northweatern Polytechnical University, Xi'an, China
;"
,"School of Power and Energy, Northwesten Polytechnical University, Xi'an, China ;"
,"School of Power and Energy/National Key Laboratory of Aerodynamic Design and Research, Northern Polytechnical University, Xi'an, China ;"
,"School of Primary Education, Pingxiang University, Pingxiang, Jiangxi"
,"School of Psychology and Neuroscience, University of St. Andrews ;"
,School of Psychology University of Lincoln ;
,"School of public education, JiLin Province Economic Management Cadre College, ChangChun, JiLin, China;"
,"School of Public Health, Medical College, China;"
,"School of Public Policy and Administration, University of Electronics, Science and Technology China, Chengdu, China
;"
,"School of Public Teaching Department, Jilin Province Economic Management Cadre College, Changchun, 130021, China
;"
,"School of Public Teaching Department, Jilin Province Economic Management Cadre College, Changchun, 130021, China
;"
,"School of Rehabilitation, Shanghai University of Medicine and Health Sciences, Shanghai, 201318, China
;"
,"School of Resource and Environment, University of Electric Science and Technology, Chengdu, China ;"
,"School of Resource and Environmental Science ,  Xinjiang University, Urumqi, Xinjiang"
,"School of Science and Engineering of Beijing Geely University, Beijing, 102202, China
;"
,"School of Science and Technology, Chang′an University, Xi′an, China ;"
,"School of Science and Technology, Hebei Agriculture University, Cangzhou, Hebei"
,"School of Science of Hubei University of Technology, Wuhan, Hubei 430068, China
;"
,"School of Science, Hbei University of Science and Technology, Shijiazhuang, China ;"
,"School of Science, Hunan University of Science & Engineering, Yongzhou, Hunan 425199, China
;"
,"School of Science, Ministry of Education Key Laboratory on Photoelectric oil-gas Logging anddetecting, Xi'an Shi you University, Xi'an, 710065, China
;"
,"School of Science, University of Geoscience, Beijing, China ;"
,"School of Science, University of Jiangnan, Wuxi 214122, China ;"
,"School of Science, Xian Polytechnic University, Xian, 710048, China
;"
,"School of Science, Xi'an Shiyou Univ., Xi'an, China ;"
,"School of Sciences,, He'nan University of Technology,, Zhengzhou, China ;"
,"School of Software, University of Technology Sydney, Ultimo"
,"School of Software, Xinjiang University Urumqi, 830008, China
;"
,"School of Space Science and Physics, Shandong University Weihai, Weihai, 264209, China
;"
,"School of Sport Science, Xichang University, Xichang"
,"School of Statistics ,  Capital University of Economics and Business, Beijing"
,"School of Statistics and Information, Shanghai University International Business and Economics, Shanghai, 201620, China
;"
,"School of Statistics and Information, Xinjiang University of Finance and Economics, Urumqi, China ;"
,"School of Statistics and Mathematics, Central University of Finance & Economics, Beijing, China;"
,"School of Statistics, Xi'an University of Finance & Economics, Xi'an, China ;"
,"School of Telecommunication and Information Engineering, Xi'an University of Post Telecommunications, Xi'an, 710121, China
;"
,"School of Textile and Clothing, Nanking University, Nantong, China ;"
,"School of Textile and Material, Xi'An Polytechnics University, Xi'an, China ;"
,"School of Textile and Materials, Xi'an Polytechnic Univ., Xi'an, China ;"
,"School of Textiles Engineering, He'nan University of Engineering, Zhengzhou, 450000, China
;"
,"School of Tourism and Geographical Sciences of Yunnan Normal University, Kunming, 650500, China
;"
,"School of Tourism and Urban Management, Jiangxi University Finance and Economics, China ;"
,"School of Tourism Management, Hainan Tropical Ocean University, Sanya"
,"School of Traffic Information, Hubei Communications Technical College, Wuhan, 430079, China
;"
,"School of Transportation & Information, Hubei Communications Technical College, Wuhan, China;"
,"School of Transportation and Information, Hubei Communications Technical College, Wuhan, China;"
,"School of Transportation Engineering, Shenyang Jianzhu University, Liaoning, Shenyang"
,"School of Transportation Engineering, Wuhan Tochnical College of Communications, Wuhan, China;"
,"School. of Geodesy and Geomatics, Xuzhou Normal University, Xuzhou, Jiangsu, China ;"
,"Sci & Technol Normal Univ Jiangxi, Nanchang 330013, Jiangxi, Peoples R China
;"
,"Sci Shanxi Normal Univ, Sch Chem & Mat Sci, 1 Gongyuan St, Linfen 041004, Shanxi, Peoples R China
;"
,"Science and Engineering Department, Sanya College, Sanya, Hainan, China ;"
,"Science and Technology College of Nanchang Hangkong University, Nanchang, 330063, China
;"
,"Science and Technology Dept of Hefei University, Anhui, Hefei 230601, China ;"
,"Science and Technology Innovation Team of Colleges and Universities in Heilongjiang, Hydrocarbon Accumulation and Preservation, Daqing, Heilongjiang, China ;"
,"Science and Technology Innovation Team of Universities of Fault Deformation, Sealing Properties and Fluid Migration, Daqing, Heilongjiang, China;"
,"Science and Technology Innovation Team of Universities of Fracture Deformation, Sealing Properties and Fluid Migration, Daqing, China ;"
,"Science and Technology on Combustion, Internal Flow and Thermo-Structure Laboratory, Science and Technology on Combustion, College of Astronauties, Nouthwestern Polytechnical University, Xi'an, 710072, China
;"
,"Science and Technology University of Suzhou, Electronic and Information Engineering Faculty, Suzhou, China ;"
,"Science College, Qiqihaer University, Qiqihaer, Heilongjiang, China ;"
,"Science Computing and Intelligent Information Processing of Guangxi Higher Education Key Laboratory (Guangxi Teachers Education University), Nanning, China ;"
,"Scientific Research Administration Division, Hu'nanUniversity of Commerce, Changsha, 410205, China
;"
,"Scoochow Univ, Robot & Microsyst Ctr, Suzhou 215021, Peoples R China
;"
,"Scoochow Univ, Robot & Microsyst Ctr, Suzhou 215021, Peoples R China
;"
,"Scott A. Myers Department of Communication Studies at West Virginia University.
;"
,Scottish Oceans Institute and School of Biology University of St Andrews St Andrews UK;
,"Scottish Oceans Institute and Sea Mammal Research Unit University of St Andrews St Andrews UK
;"
,"SDUST, Coll Mat Sci & Engn, Qingdao 266510, Shandong, Peoples R China"
,"SDUST, Coll Math & Syst Sci, Qingdao 266590, Shandong, Peoples R China
;"
,"SDUST, Geomat Coll, Qingdao 266590, Shandong, Peoples R China
;"
,"Second Affiliated Hosp, Coll Med, Canc Inst, Key Lab Canc Prevent & Intervent,Affiliated Hosp, Hangzhou 310009, Zhejiang, Peoples R China
;"
,"Second Clin Med Coll, Dept Neurol, Nanchong 637000, Sichuan Provinc, Peoples R China"
,"Second Clinical Medical School of Guangzhou University of CM
;"
,"Second Department of Preschool Education, Preschool Educators College, Jiangyou"
,"Second Hosp Univ, Dept Hematol, Shijiazhuang 050000, Hebei, Peoples R China
;"
,"Second Mili Med Univ, Dept Obstet & Gynecol, Affiliated Hosp 1, Changhai Rd 168, Shanghai 200433, Peoples R China
;"
,"Second Miliary Med Univ, Sch Nursing, Shanghai 200433, Peoples R China"
,"Second Milirmy Med Univ, Shanghai Eastern Hepatobiliary Surg Hosp, Dept Pharm, Shanghai 200438, Peoples R China
;"
,"Second MilitaryMed Univ, Changzheng Hosp, Dept Bone Tumor Surg, 415 Fengyang Rd, Shanghai 200003, Peoples R China"
,"Second Militmy Med Univ, Changhai Hosp, Dept Ophthalmol, 168 Changhai Rd, Shanghai 200433, Peoples R China"
,"Second Milittny Med Univ, Sch Pharm, Shanghai 200433, Peoples R China"
,"Second Millitary Med Univ, Changhai Hosipital, Dept Lab Med, Shanghai 200433, Peoples R China
;"
,"Second Millitary Med Univ, Changzheng Hosp Shanghai, Dept Neurosurg, Shanghai 200003, Peoples R China
;"
,"Second Millitary Med Univ, Changzheng Hosp, Dept Radiol & Nucl Med, Shanghai, Peoples R China"
,"Second Ningbo Technician College, Ningbo, China;"
,"Second Ningbo Technician College, Ningbo, China;"
,"Secondary Med Univ, Lab Anim Ctr, Shanghai 200433, Peoples R China"
,"Secong Militery Med Univ, Eastern Hepatobiliary Surg Hosp, Dept Hepat Surg 5, Shanghai 200438, Peoples R China"
,"Security Protection, Beijing College of Politics and La, Beijing, China ;"
,"SEEE, Sastra University ;"
,"SEU, Coll Civil Engn, 2 Sipailou, Nanjing 210096, Jiangsu, Peoples R China"
,"Seventh Department, Mechanics Engineering College, Shijiazhuang, China;"
,"Shaan Xi Normal Univ, Dept Appl Math, Xian 710062, Peoples R China"
,"Shaannan Eco-economy Research Center of Ankang University, Ankang, 725000, China
;"
,"Shaanxi Coll Commun Technol, Dept Automobile, Xian 710018, Shaanxi, Peoples R China"
,"Shaanxi Coll Commun Technol, Dept Automot Engn, Xian 710018, Peoples R China"
,"Shaanxi Coll Commun Technol, Dept Automot Engn, Xian, Peoples R China"
,"Shaanxi Coll Commun Technol, Sch Civil Engn & Geodesy, 19 Wenjing RD, Xian 710018, Shaanxi, Peoples R China
;"
,"Shaanxi Coll Commun Technol, Sch Econ & Management, Xian 710018, Shaanxi, Peoples R China
;"
,"Shaanxi Coll Commun Technol, Xian, Shaanxi, Peoples R China
;"
,"Shaanxi College of Chinese Medicine, Xianyang, China ;"
,"Shaanxi College of Communication Technology, Xi'an"
,"Shaanxi College of Communications Technology, Xi'an 710018, Shaanxi, China ;"
,"Shaanxi College of Communications Technology, Xi'an, China;"
,"Shaanxi College of Traditional Chinese Medicine, Xianyang 712046, China ;"
,"Shaanxi Ctr Stem Cells Engn & Technol, Coll Vet Med, Yangling, Shaanxi, Peoples R China
;"
,"Shaanxi Elect Tech Coll, Coll Comp Engn, Xian 710125, Shaanxi, Peoples R China"
,"Shaanxi Energy Inst, Coll Chem Engn, Xianyang 71200, Shaanxi, Peoples R China
;"
,"Shaanxi Inst Int Trade & Commerce, Coll Pharm, Xian 712046, Shaanxi, Peoples R China"
,"Shaanxi Inst Int Trade & Commerce, Coll Pharm, Xian 712046, Shaanxi, Peoples R China
;"
,"Shaanxi Inst Int Trade & Commerce, Coll Pharm, Xian 712046, Shaanxi, Peoples R China
;"
,"Shaanxi Key Laboratory of Comprehensive Utilization of Tailings Resources (Shangluo University), Shangluo, China ;"
,"Shaanxi Key Laboratory of Comprehensive Utilization of Tailings Resources (Shangluo University), Shangluo, China ;"
,"Shaanxi Key Laboratory of Network Data Intelligent Processing, Xi‘an University of Posts and Telecommunications, Xi‘an, China
;"
,"Shaanxi Key Laboratory of Surface Engineering and Remanufacturing, Xi’an University, Xi'an, 710065, China
;"
,"Shaanxi Nonnal Univ, Key Lab Appl Surface & Colloid Chem, Minist Educ, Xian 710119, Shaanxi, Peoples R China
;"
,"Shaanxi Nonnal Univ, Key Lab Modern Teaching Technol, Minist Educ, Xian, Shaanxi, Peoples R China"
,"Shaanxi Polytech Inst, Coll Informat Engn, Xianyang 712000, Peoples R China
;"
,"Shaanxi Polytech Inst, Coll Informat Engn, Xianyang 712100, Shaanxi, Peoples R China"
,"Shaanxi Research Center of Engineering Technology for Clean Coal Conversion, Chemical Engineering Research Center of the Ministry of Education for Advanced Use Technology of Shanbei Energy, School of Chemical Engineering Northwest University, Xi'an, Shaanxi Province, China ;"
,"Shaanxi Technical College of Finance and Economics, China;"
,"Shaanxi Technical College of Finance and Economics, Xianyang"
,"Shaanxi Technical College of Finance and Economics, Xianyang, Shaanxi Province"
,"Shaanxi Tradit Chinese Med Coll, Xianyang, Peoples R China"
,"Shaanxi Tradit Chinese Med Collage, Affiliated Hosp, Dept Urol, Xianyang, Shaanxi, Peoples R China"
,"Shaanxi Tradit Univ, Affiliated Hosp 2, Xianyang, Peoples R China"
,"Shaanxi TV & Radio Univ, Xian, Shaanxi, Peoples R China
;"
,"Shaan'xi University of Science and Technology, Xi'an, Shaanxi, China ;"
,"Shaanxi Xueclian Normal Univ, Dept Chem & Chem Engn, Shenhe 2nd Rd, Xian 710100, Peoples R China"
,"Shaanxi Xuegian Normal Univ, Coll Life Sci & Food Engn, Xian, Shaanxi, Peoples R China
;"
,"Shaanxi Xueqian Normal University, Xi'an"
,"Shaanxi Xueqian Normal University, Xi'an, Shaanxi"
,"Shama Univ, Sch Chem & Chem Engn, Taiyuan 030006, Peoples R China
;"
,"Shan Dong Career Dev Coll, Jining, Peoples R China"
,"Shan Dong Med Coll, Jinan 250002, Peoples R China"
,"Shan Dong Univ Finance & Econ, Sch Econ, Jinan, Peoples R China"
,"Shan Xi Light Ind & Tech Coll, Dept Elect & Mech Engn, Shanghai 030013, Peoples R China
;"
,"Shan Xi Pharmanceut Coll, Taiyuan 030031, Peoples R China
;"
,"Shandong Adv Coll Elect power, Jinan, Shandong, Peoples R China"
,"Shandong Agr Adm Coll, Jinan 250014, Peoples R China
;"
,"Shandong Agr Adm Coll, Jinan, Peoples R China"
,"Shandong Binhai University, Shandong, China
;"
,"Shandong Binzhou Polytechnic College, Binzhou 256603, China ;"
,"Shandong Career Dev Coll, Dept Energy & Mat Engn, Jining, Peoples R China
;"
,"Shandong Coll Highway Technician, Engn, 26777 East Jingshi Rd, Jinan 250002, Shandong, Peoples R China"
,"Shandong Coll Informat Technol, Weifang, Peoples R China"
,"Shandong Coll, Dept Lab Med, Jinan, Shandong, Peoples R China
;"
,"Shandong College of Mining Technical, Zibo, China
;"
,"Shandong Colleges and Universities Key Laboratory of New Energy Physics and Materials Science, Qingdao, China ;"
,"Shandong Commun & Media Coll, Jinan 250353, Shandong, Peoples R China"
,"Shandong First Univ, Shandong Prov Qianfoshan Hosp, Dept Pharm, Hosp 1, Jinan, Shandong, Peoples R China"
,"Shandong FirstMed Univ, Sch Stomatol, CONVERSATIONALIST Club, Tai An 271016, Shandong, Peoples R China"
,"Shandong Highway Technician Coll, Jinan 250104, Shandong, Peoples R China
;"
,"Shandong Huayu Univ Technol, Dezhou, Peoples R China
;"
,"Shandong Huayu Univ Technol, Engn & Technol R&D Ctr Clean Air Conditioning Col, Dezhou 253000, Peoples R China
;"
,"Shandong Huayu Univ Technol, Sch Elect Engn, Dezhou 254034, Peoples R China
;"
,"Shandong Huayu Univ Technol, Sch Energy & Environm Engn, Dezhou 253034, Peoples R China
;"
,"Shandong Huayu Univ Technol, Sch Energy & Environm Engn, Dezhou, Peoples R China"
,"Shandong Inst Commerce & Technol, Coll Humanities, Jinan 251013, Peoples R China"
,"Shandong Inst Commerce & Technol, Coll Informat & Art, Jinan, Shandong, Peoples R China
;"
,"Shandong Jianshu Univ, Sch Civil Engn, Fengming Rd, Jinan 250101, Shandong, Peoples R China
;"
,"Shandong Jianshu Univ, Sch Mat Sci & Engn, Jinan 250101, Shandong, Peoples R China
;"
,"Shandong Jianzhou Univ, Sch Civil Engn, Jinan, Shandong, Peoples R China
;"
,"Shandong Jining Technician College, Jining, Shandong, China;"
,"Shandong Kaiwen Coll Sci & Technol, Coll Automot Engn, Jinan 250200, Shandong, Peoples R China
;"
,"Shandong Kaiwen Coll Sci & Technol, Jinan 250200, Peoples R China"
,"Shandong Kaiwen Coll Sci & Technol, Sch Mech, Jinan 250200, Peoples R China"
,"Shandong Kaiwen Coll Sci & Technol, Sch Mech, Jinan 250200, Peoples R China"
,"Shandong Key Laboratory of Civil Engineering Disaster Prevention & Mitigation, College of Civil Engineering and Architecture, Shandong Univ. of Sci. & Tech., Qingdao, 266590, China
;"
,"Shandong Policy Coll, Publ Secur Dept, Jinan 250014, Peoples R China"
,"Shandong Prov Key Lab Fluorine Chem & Chem Mat, Key Lab Interfacial React & Sensing Anal Univ Sha, Jinan 250022, Shandong, Peoples R China
;"
,"Shandong Prov Univ, Key Lab Optoelect Mat Phys & Devices, Qingdao 266071, Peoples R China
;"
,"Shandong Prov Univ, Key Lab Optoelect Mat Phys & Devices, Qingdao 266071, Peoples R China
;"
,"Shandong Prov Univ, Key Lab Optoelect Mat Phys & Devices, Qingdao 266071, Peoples R China
;"
,"Shandong Province Key Lab of Civil Engineering Disaster Prevention and Mitigation, Shangdong University of Science and Technology, Qingdao, 266590, China
;"
,"Shandong Provincial Key Lab. of Marine Environment and Geological Engineering (Ocean Univ. of China), Qingdao, China ;"
,"Shandong Provincial Key Laboratory of Appraisal and Retrofitting in Building Structures, Shandong Jinzhu University, Jinan, China ;"
,"Shandong Provincial Key Laboratory of Civil Engineering Disaster Prevention and Reduction, Shangdong University of Science and Technology, Qingdao, Shandong 266590, China
;"
,"Shandong Provincial Key Laboratory of Depositional Mineralization & Sedimentary Minerals (Shangdong University of Science and Technology), Qingdao, China ;"
,"Shandong Provincial Key Laboratory of Depositional Mineralization & Sedimentary Minerals (Shangdong University of Science and Technology), Qingdao, China ;"
,"Shandong Provincial Key Laboratory of Depositional Mineralization & Sedimentary Minerals (Shangdong University of Science and Technology), Qingdao, Shandong, China;"
,"Shandong Research Center of Engineering and Technology for Clean Energy, Shangdong University of Technology, Zibo, Shandong, China ;"
,"Shandong Sch, Coll Med, Jinan 250012, Peoples R China"
,"Shandong Sci & Technol Univ, Tai An, Shandong, Peoples R China"
,"Shandong Traditional Chinese Medicine University, College of Pharmacy, Ji'nan 250012, China ;"
,"Shandong Traditional Chinese Medicine University, College of Pharmacy, Ji'nan 250012, China ;"
,"Shandong Univ Finance & Econ Lib, Jinan 250014, Shandong, Peoples R China
;"
,"Shandong Univ Sport, Dept Sports Sci, Jinan, Shandong, Peoples R China"
,"Shandong Univ Technogy, Coll Chem Engn, Zibo 255049, Shandong, Peoples R China"
,"Shandong University of Political Science and Law, Jinan, Shandong"
,"Shandong Urban Construct Coll, Jinan 250103, Shandong, Peoples R China"
,"Shandong Vormal Univ, Sch Phys & Elect, Jinan 250014, Shandong, Peoples R China
;"
,"Shandong Wan Jie Medical College, Zibo, Shandong, China ;"
,"Shandong Wanjie Med Coll, Shandong High Sch, Key Lab Biomed Engn & Technol, Zibo 255213, Peoples R China
;"
