title,author
Among the Ten Thousand Things: A Novel,Julia Pierpont
Amoroso (Alfonzo) (Volume 16),S.W. Frank
Amulet,Roberto Bolao
Amuse Bouche (Russell Quant Mysteries),Anthony Bidulka
Amy Falls Down: A Novel,Jincy Willett
"Amy Lynn, The Lady Of Castle Dunn (Volume 3)",Jack July
An (Im)possible Life: Poesia y Testimonio in the Borderlands,Elvira Prieto
An Absent Mind,Eric Rill
An Anthropologist On Mars: Seven Paradoxical Tales,Oliver Sacks
An Apple a Day ...,Julian Gough
An Echo in the Bone: A Novel (Outlander),Diana Gabaldon
An Ecology of World Literature: From Antiquity to the Present Day,Alexander Beecroft
An Elephant in the Garden,Michael Morpurgo
An Elm Creek Quilts Sampler: The First Three Novels in the Popular Series (The Elm Creek Quilts),Jennifer Chiaverini
An English Ghost Story,Kim Newman
An Enticing Misconception: A Book of Prose and Poetry,Ruv Burns
An Equal Music: A Novel,Vikram Seth
An Ideal Husband (Dover Thrift Editions),Oscar Wilde
An Iliad,Lisa Peterson
An Iliad,Lisa Peterson
An Improbable Truth: The Paranormal Adventures of Sherlock Holmes,A.C. Thompson
An Inspector Calls (Philip Allan Literature Guide for Gcse),J. B. Priestley
An Introduction to Literature (16th Edition),Sylvan Barnet
An Introduction to Poetry (13th Edition),X. J. Kennedy
An Irish Country Christmas (Irish Country Books),Patrick Taylor
An Irish Country Courtship: A Novel (Irish Country Books),Patrick Taylor
An Irish Country Village (Irish Country Books),Patrick Taylor
An Irish Country Wedding: A Novel (Irish Country Books),Patrick Taylor
An Irish Doctor in Love and at Sea: An Irish Country Novel (Irish Country Books),Patrick Taylor
An Irish Doctor in Peace and at War: An Irish Country Novel (Irish Country Books),Patrick Taylor
An Obedient Father,Akhil Sharma
An Occult Physiology: Eight Lectures By Rudolf Steiner,Rudolf Steiner
An Octoroon,Branden Jacobs-jenkins
An Oresteia: Agamemnon by Aiskhylos; Elektra by Sophokles; Orestes by Euripides,Aeschylus
An Untamed Heart,Lauraine Snelling
An Untamed Land (Red River of the North #1),Lauraine Snelling
Ana of California: A Novel,Andi Teran
Anacalypsis - The Saitic Isis: Languages Nations and Religions (v. 1 & 2),Godfrey Higgins
Anadarko: A Kiowa Country Mystery,Tom Holm
"Analogies at War: Korea, Munich, Dien Bien Phu, and the Vietnam Decisions of 1965",Yuen Foong Khong
Anansi Boys,Neil Gaiman
Ancient Blood: A Navajo Nation Mystery (Volume 3),R. Allen Chappell
Ancient Egyptian Literature: Volume I: The Old and Middle Kingdoms,Miriam Lichtheim
Ancient Near Eastern Thought and the Old Testament: Introducing the Conceptual World of the Hebrew Bible,John H. Walton
Ancient Sorceries and Other Weird Stories (Penguin Classics),Algernon Blackwood
And Eternity (Book Seven of Incarnations of Immortality),Piers Anthony
And Still I Rise,Maya Angelou
And the Birds Rained Down,Jocelyne Saucier
And West Is West,Ron Childress
And Yet...: Essays,Christopher Hitchens
And You Call Yourself a Christian (Urban Books),E.N. Joy
Andersen's Fairy Tales,Hans Christian Andersen
Andrew's Brain: A Novel,E.L. Doctorow
Android Karenina (Quirk Classic),Leo Tolstoy
Anecdotal Shakespeare: A New Performance History,Paul Menzer
Angel of Storms (Millennium's Rule),Trudi Canavan
Angelmaker (Vintage Contemporaries),Nick Harkaway
Angelopolis: A Novel (Angelology Series),Danielle Trussoni
"Angels in America, Part One: Millennium Approaches",Tony Kushner
"Angels in America, Part Two: Perestroika",Tony Kushner
Angels Make Their Hope Here,Breena Clarke
Anglo-Saxon Community in J.R.R. Tolkien's the Lord of the Rings,Deborah a. Higgens
Animal,K'wan
Animal 2: The Omen,K'wan
Animal 3: Revelations,K'wan
Animal Farm,George Orwell
Animal Farm and Related Readings,George Orwell
Animal Farm: Centennial Edition,George Orwell
Animals,Emma Jane Unsworth
Anna Karenina (Modern Library Classics),Leo Tolstoy
Anna Karenina (Oxford World's Classics),Leo Tolstoy
"Anne of Avonlea, Large-Print Edition",Lucy Maud Montgomery
Anne of Avonlea: Anne of Green Gables Part 2,Lucy Maud Montgomery
Annie Freeman's Fabulous Traveling Funeral,Kris Radish
Annie John: A Novel,Jamaica Kincaid
Anno Dracula,Kim Newman
Anno Dracula: Johnny Alucard,Kim Newman
Anno Dracula: The Bloody Red Baron,Kim Newman
Anointed,Patricia Haley
Another,Yukito Ayatsuji
Another Country,James Baldwin
Another Day,David Levithan
Another Man's Moccasins: A Walt Longmire Mystery (A Longmire Mystery),Craig Johnson
Another Piece of My Heart,Jane Green
Another Woman's Daughter (U.S edition),Fiona Sussman
Anselm of Canterbury: The Major Works (Oxford World's Classics),St. Anselm
Anthills of the Savannah,Chinua Achebe
Anthology Of Classical Myth: Primary Sources in Translation,Stephen Trzaskoma
Anthology of Living Theater,Edwin Wilson
Anthroposophy in the Light of Goeth's Faust: Writings and Lectures from Mid-1880s to 1916: of Spiritual-Scientific Commentaries on Goethe's Faust (The Collected Works of Rudolf Steiner),Rudolf Steiner
Antigone,Jean Anouilh
Antigone,Sophocles
Antigone - Activity Pack,Sophocles
Antigone (Dover Thrift Editions),Sophocles
Antigone (Greek Tragedy in New Translations),Sophocles
Antigone (Hackett Classics),Sophocles
"Antigone (Methuen Drama, Methuen Student Edition)",Jean Anouilh
"Antigone, Oedipus the King, Electra (Oxford World's Classics)",Sophocles
Antigone: A New Translation,Sophocles
Antigone: In Plain and Simple English,Sophocles
Antigonick (New Directions Paperbook),Anne Carson
Antologa (Poesia) (Spanish Edition),Len De Greiff
"Anton Chekhov Early Short Stories, 1883-1888 (Modern Library)",Anton Chekhov
"Anton Chekhov Later Short Stories, 1888-1903 (Modern Library)",Anton Chekhov
Anton Chekhov: A Life,Donald Rayfield
Anton Chekhov's Selected Plays (Norton Critical Editions),Anton Chekhov
Anton Chekhov's Short Stories (Norton Critical Editions),Anton Chekhov
Antonio's Will,Yasmin Tirado-Chiodini
Antony & Cleopatra (No Fear Shakespeare),SparkNotes
Antony and Cleopatra (Folger Shakespeare Library),William Shakespeare
Antony and Cleopatra: Oxford School Shakespeare (Oxford School Shakespeare Series),William Shakespeare
Any Other Name: A Longmire Mystery,Craig Johnson
Anything Goes,John Barrowman
Apart at the Seams (Cobbled Court Quilts),Marie Bostwick
Apathy and Other Small Victories,Paul Neilan
Aphrodite: A Memoir of the Senses,Isabel Allende
Apocalypse Cow,Michael Logan
"Apollodorus:  The Library, Volume I: Books 1-3.9 (Loeb Classical Library no. 121)",Apollodorus
"Apollodorus: The Library, Vol. 2: Book 3.10-16 / Epitome (Loeb Classical Library, No. 122) (Volume II)",Apollodorus
"Applause First Folio of Shakespeare in Modern Type: Comedies, Histories & Tragedies (Applause First Folio Editions)",William Shakespeare
Application for Release from the Dream: Poems,Tony Hoagland
Approaching Hysteria,Mark S. Micale
Appropriate and Other Plays,Branden Jacobs-Jenkins
April Morning,Howard Fast
"Apuleius: Metamorphoses (The Golden Ass), Volume II, Books 7-11 (Loeb Classical Library No. 453)",Apuleius
Arabian Love Poems: Full Arabic and English Texts (Three Continents Press),Nizar Qabbani
Aratus: Phaenomena (Cambridge Classical Texts and Commentaries),Aratus
Arcadia: A Play,Tom Stoppard
Argonautika: The Voyage of Jason and the Argonauts,Mary Zimmerman
Arguably: Essays by Christopher Hitchens,Christopher Hitchens
Arguing about Literature: A Guide and Reader,John Schilb
"Aristophanes 1: Clouds, Wasps, Birds (Hackett Classics)",Aristophanes
Aristophanes Clouds,Aristophanes
Aristophanes: Lysistrata (Focus Classical Library),Aristophanes
Aristophanes' Clouds,Aristophanes
Aristotle on Comedy: Towards a Reconstruction of Poetics II,Richard Janko
Aristotle on Life and Death,R.A.H. King
Aristotle On Poetics,Aristotle
Ark: A Dane Maddock Adventure (Dane Maddock Adventures) (Volume 7),David Wood
Armageddon: A Novel of Berlin,Leon Uris
Around the World in 80 Days,Jules Verne
Around the World in Eighty Days (Dover Thrift Editions),Jules Verne
Arrow of God,Chinua Achebe
Arsenic and Old Lace - Acting Edition,Joseph Kesselring
Art and Myth in Ancient Greece (World of Art),Thomas H. Carpenter
Arthur Miller: Collected Plays 1944-1961 (Library of America),Arthur Miller
Arthur Rimbaud: Complete Works,Arthur Rimbaud
Articulos Desarticulados Y Cuentos No Contados (Spanish Edition),Leonardo Guzman
As A Driven Leaf,Milton Steinberg
"As Always, Julia: The Letters of Julia Child and Avis DeVoto",Joan Reardon
"As Bill Sees It (The A.A. Way of Life, Selected writings of AA's co-founder (LARGE PRINT)) (The A.A. Way of Life, Selected writings of AA's co-founder (LARGE PRINT))",Bill Willson
"As Consciousness Is Harnessed to Flesh: Journals and Notebooks, 1964-1980",Susan Sontag
As I Lay Dying: The Corrected Text,William Faulkner
As You Like It (Arden Shakespeare: Third Series),William Shakespeare
As You Like It (Dover Thrift Editions),William Shakespeare
As You Like It (Folger Shakespeare Library),William Shakespeare
As You Like It (No Fear Shakespeare),SparkNotes
As You Like It (Norton Critical Editions),William Shakespeare
As You Like It (Saddleback's Illustrated Classics),William Shakespeare
Asclepius: The Perfect Discourse of Hermes Trismegistus,Clement Salaman
Ash,Malinda Lo
Ashes and Seeds,Michelle Greenblatt
Asimov's Guide to Shakespeare: A Guide to Understanding and Enjoying the Works of Shakespeare,Isaac Asimov
Asking for Trouble: A Novel,Elizabeth Young
Asking the Right Questions (11th Edition),M. Neil Browne
Assassins (Violators: The Coalition) (Volume 2),Nancy Brooks
Associated Press Stylebook 2015 and Briefing on Media Law,The Associated Press
Astonish Me (Vintage Contemporaries),Maggie Shipstead
Astor Place Vintage: A Novel,Stephanie Lehmann
Astray,Emma Donoghue
Astrid and Veronika,Linda Olsson
At Blackwater Pond: Mary Oliver reads Mary Oliver,Mary Oliver
"At Grave's End: Night Huntress, Book 3",Jeaniene Frost
"At Home in Mitford (The Mitford Years, Book 1)",Jan Karon
At Home on Ladybug Farm,Donna Ball
At Home with Jane Austen,Kim Wilson
At Least Once: A Novel (While We Wait) (Volume 1),D. M. Cuffie
At Swim-Two-Birds (Irish Literature),Flann O'Brien
At the Water's Edge: A Novel,Sara Gruen
Atlantis and Lemuria,Rudolf Steiner
Atlas Shrugged,Ayn Rand
Atomic Robo: The Everything Explodes Collection,Brian Clevinger
"Atys, Tragedie En Musique, Ornee D'Entrees de Ballet, de Machines, de Changemens de Theatre (Litterature) (French Edition)",Philippe Quinault
Auden: Poems (Everyman's Library Pocket Poets),W. H. Auden
August Wilson Century Cycle,August Wilson
August: Osage County - Acting Edition,Tracy Letts
Augustus (New York Review Books Classics),John Williams
Aunt Julia and the Scriptwriter: A Novel,Mario Vargas Llosa
Auntie Mame - Acting Edition,Jerome Lawrence and Robert E. Lee
Austerlitz (Modern Library Paperbacks),W.G. Sebald
Autobiography of a Corpse (New York Review Books Classics),Sigizmund Krzhizhanovsky
"Autobiography of Mark Twain, Volume 2: The Complete and Authoritative Edition (Mark Twain Papers)",Mark Twain
"Autobiography of Mark Twain, Volume 3: The Complete and Authoritative Edition (Mark Twain Papers)",Mark Twain
"Autobiography of Mark Twain: The Complete and Authoritative Edition, Vol. 1",Mark Twain
Autobiography of Red,Anne Carson
Autumn Brides: A Year of Weddings Novella Collection,Kathryn Springer
Autumn: Aftermath (Autumn series 5),David Moody
Avenue of Mysteries,John Irving
Averno: Poems,Louise Glck
Awakening Osiris: The Egyptian Book of the Dead,Normandi Ellis
Away: A Novel,Amy Bloom
Aztec and Maya Myths (Legendary Past),Karl Taube
B,Sarah Kay
B-More Careful: A Novel,Shannon Holmes
"Baby, You're the Best (The Crystal Series)",Mary B. Morrison
Bacchae,Euripides
Bacchae,Euripides
Bacchae,Euripides
Bacchae (Dover Thrift Editions),Euripides
Bacchae (Focus Classical Library),Euripides
Bacchae and Other Plays: Iphigenia among the Taurians; Bacchae; Iphigenia at Aulis; Rhesus (Oxford World's Classics),Euripides
Back Channel,Stephen L. Carter
Back Roads to Far Towns: Basho's Oku-No-Hosomichi (Ecco Travels),Basho Matsuo
"Backpack Literature: An Introduction to Fiction, Poetry, Drama, and Writing (5th Edition)",X. J. Kennedy
Bad Apple (The Baddest Chick) Part 1,Nisa Santiago
Bad Bitch (Bitch Series),Joy Deja King
Bad Blood,Mary Monroe
Bad Boys Do (The Donovan Family),Victoria Dahl
Bad Jews,Joshua Harmon
Bad Men: A Thriller,John Connolly
Bad Romeo (The Starcrossed Series),Leisa Rayven
Badenheim 1939,Aharon Appelfeld
Baking Cakes in Kigali: A Novel,Gaile Parkin
Bakkhai (Greek Tragedy in New Translations),Euripides
Balls,Julian Tepper
Balm: A Novel,Dolen Perkins-Valdez
Balseros (Spanish Edition),Ernesto Ochoa
Balzac and the Little Chinese Seamstress: A Novel,Dai Sijie
Band of Sisters,Cathy Gohlke
Bang the Drum Slowly (Second Edition),Mark Harris
Banker,Dick Francis
Banquet for the Damned,Adam Nevill
Barbara the Slut and Other People,Lauren Holmes
Barefoot Heart: Stories of a Migrant Child,Elva Trevino Hart
Barefoot: A Novel,Elin Hilderbrand
Barely a Lady (The Drake's Rakes series),Eileen Dreyer
Barney's Version (Vintage International),Mordecai Richler
Barometer Rising,Hugh Maclennan
"Bartleby, The Scrivener A Story of Wall-Street",Herman Melville
Baseball Dads,Matthew S. Hiley
Basho and His Interpreters: Selected Hokku with Commentary,Basho Matsuo
Basho: The Complete Haiku,Matsuo Basho
Basho's Narrow Road: Spring and Autumn Passages (Rock Spring Collection of Japanese Literature),Matsuo Basho
Bastard Out of Carolina: A Novel,Dorothy Allison
Bastards of the Reagan Era (Stahlecker Selections),Reginald Dwayne Betts
Bathed in Blood (Rogue Angel),Alex Archer
Battle Cry,Leon Uris
Battleborn: Stories,Claire Vaye Watkins
Battlemage (Age of Darkness),Stephen Aryan
Be Careful What You Pray For: A Novel (The Reverend Curtis Black Series),Kimberla Lawson Roby
Be Careful What You Wish For (The Clifton Chronicles),Jeffrey Archer
"Be Still My Vampire Heart (Love at Stake, Book 3)",Kerrelyn Sparks
Beasts of No Nation: A Novel,Uzodinma Iweala
Beasts of No Nation: A Novel (P.S.),Uzodinma Iweala
Beatrix Potter the Complete Tales (Peter Rabbit),Beatrix Potter
Beatrix Potter's Gardening Life: The Plants and Places That Inspired the Classic Children's Tales,Marta McDowell
Beautiful Chaos,Robert M. Drake
Beautiful Chaos,Robert M. Drake
Beautiful Day: A Novel,Elin Hilderbrand
Beautiful Oblivion,Addison Moore
Beautiful Thing - Acting Edition,Jonathan Harvey
Bed of Roses: Bride Quartet,Nora Roberts
"Bedford Introduction to Literature: Reading, Thinking, Writing",Michael Meyer
Before The Muses: An Anthology Of Akkadian Literature,Benjamin R. Foster
Before We Set Sail,Chika Ezeanya
Behind the Beauty 3,YaYa Grant
Behold the Man (The Jerusalem Chronicles),Bodie and Brock Thoene
"Bell, Book and Candle: A Comedy in Three Acts",John van Druten
Bella Fortuna,Rosanna Chiofalo
Bella Poldark,Winston Graham
Belleville,Amy Herzog
Bellman & Black: A Novel,Diane Setterfield
Bellocq's Ophelia: Poems,Natasha Trethewey
Beloved,Toni Morrison
Below Zero (A Joe Pickett Novel),C. J. Box
"Ben-Hur: A Tale of the Christ, Complete and Unabridged",Lew Wallace
Bendigo Shafter: A Novel,Louis L'Amour
Beneath Still Waters (Rogue Angel),Alex Archer
Beneath the Dark Ice,Greig Beck
BENITA: prey for him,Virginia Tranel
Beowulf - Autotypes Of The Unique Cotton Manuscript Vitellius A XV In The British Museum,Julius Zupitza
Beowulf (Broadview Literary Texts) (Broadview Literary Texts Series),Roy Liuzza
Beowulf (Signet Classics),Anonymous
Beowulf: A Dual-Language Edition,Howell D. Chickering
Beowulf: A New Telling,Robert Nye
Beowulf: A New Translation,Seamus Heaney
Beowulf: A Prose Translation (Penguin Classics)paperback,Anonymous
Beowulf: A Translation and Commentary,J.R.R. Tolkien
Berlin Diary,William L. Shirer
Bertie's Guide to Life and Mothers (44 Scotland Street Series),Alexander McCall Smith
Beside a Burning Sea,John Shors
Best Food Writing 2015,Holly Hughes
Best Friends Forever,Kimberla Lawson Roby
"Best Ghost Stories of Algernon Blackwood (Dover Mystery, Detective, & Other Fiction)",Algernon Blackwood
Best Ghost Stories of J. S. LeFanu,J. Sheridan Le Fanu
Best Loved Poems of the American People,Hazel Felleman
Best Russian Short Stories,Various
Best Served Cold,Joe Abercrombie
Best Tales of the Yukon,Robert Service
Best-Loved Folktales of the World (The Anchor folktale library),Joanna Cole
"Bestiary: Being an English Version of the Bodleian Library, Oxford, MS Bodley 764",Richard Barber
Betrayal,Harold Pinter
Betrayal (Exposed Series),Naomi Chase
Betsey Brown: A Novel,Ntozake Shange
Better Off Without Him,Dee Ernst
Better Than Chocolate (Life in Icicle Falls),Sheila Roberts
Between Distant Modernities: Performing Exceptionality in Francoist Spain and the Jim Crow South,Brittany Powell Kennedy
Between Friends,Amos Oz
"Between Heaven and Texas (A Too Much, Texas Novel)",Marie Bostwick
"Between Levinas and Lacan: Self, Other, Ethics",Mari Ruti
"Between Parentheses: Essays, Articles and Speeches, 1998-2003",Roberto Bolano
Between Riverside and Crazy,Stephen Adly Guirgis
Between Sisters,Kristin Hannah
Between Sisters: A Novel (Random House Reader's Circle),Kristin Hannah
Between the Bridge and the River,Craig Ferguson
Between the World and Me,Ta-Nehisi Coates
Beyond Black: A Novel,Hilary Mantel
Beyond Bolao: The Global Latin American Novel (Literature Now),Hctor Hoyos
Beyond the Great Snow Mountains: Stories,Louis L'Amour
Big Cherry Holler: A Novel (Ballantine Reader's Circle),Adriana Trigiani
Big Game Fishing Journal,Speedy Publishing LLC
Big Girls Don't Cry,Brenda Novak
Big Sky Wedding,Linda Lael Miller
Big Stone Gap (Movie Tie-in Edition): A Novel,Adriana Trigiani
Billy Lynn's Long Halftime Walk,Ben Fountain
Biloxi Blues,Neil Simon
Binocular Vision: New & Selected Stories,Edith Pearlman
Birds and Other Plays (Oxford World's Classics),Aristophanes
Birds of Paradise Lost,Andrew Lam
Birthday Letters: Poems,Ted Hughes
Bitch A New Beginning (Bitch Series),Joy Deja King
Bitter Creek (The Montana Mysteries Featuring Gabriel Du Pr),Peter Bowen
Bitter Eden: A Novel,Tatamkhulu Afrika
Bittersweet Dreams (Forbidden),V.C. Andrews
Bittersweet: A Novel,Colleen McCullough
Black ButterFly,Robert M. Drake
Black Cat Journal: 160 Page Lined Journal/Notebook,Mahtava Journals
Black Culture and Black Consciousness: Afro-American Folk Thought from Slavery to Freedom,Lawrence W. Levine
Black Diamond,Brittani Williams
Black Diamond 2: Nicety,Brittani Williams
Black Gangster,Donald Goines
Black Girl Lost,Donald Goines
"Black Men, Obsolete, Single, Dangerous?: The Afrikan American Family in Transition",Haki R Madhubuti
Black Ops (Presidential Agent),W.E.B. Griffin
Black Scarface (Volume 1),Jimmy DaSaint
Black Scarface 3 The Wrath of Face,Jimmy DaSaint
Black Scarface II The Rise of an American Kingpin,Jimmy DaSaint
Black Scarface IV: Live A King...Die A Legend (Volume 4),Jimmy DaSaint
Black Swan Green,David Mitchell
Black Tuesday (Area 51: Time Patrol),Bob Mayer
Blackberry Days of Summer: A Novel (Zane Presents),Ruth P. Watson
Blake and Tradition,Kathleen Raine
Blake or The Huts of America,Martin R. Delany
Bleachers: A Novel,John Grisham
Bleeding Edge: A Novel,Thomas Pynchon
"Bless Me, Ultima",Rudolfo Anaya
Blessing the Boats: New and Selected Poems 1988-2000 (American Poets Continuum),Lucille Clifton
Blind Descent (Anna Pigeon),Nevada Barr
Blind Faith,Ben Elton
Blind Your Ponies,Stanley Gordon West
Blindsided (Sisterhood),Fern Michaels
Bliss,Olivier Choinire
Bliss House: A Novel,Laura Benedict
Bliss: A Novel,Shay Mitchell
"Blithe Spirit, Hay Fever, Private Lives: Three Plays",Noel Coward
Block Party 5k1: Diplomatic Immunity (Volume 1),Al-Saadiq Banks
Block Party 5k1: Diplomatic Immunity (Volume 2),Al-Saadiq Banks
Blockade Billy,Stephen King
Blonde Eskimo: A Novel,Kristen Hunt
"Blonde Hair, Blue Eyes",Karin Slaughter
Blood and Beauty: The Borgias; A Novel,Sarah Dunant
"Blood and Steel 2: The Wehrmacht Archive - Retreat to the Reich, September to December 1944",Donald E. Graves
Blood Girls (Nunatak Fiction),Meira Cook
Blood Harvest,Sharon Bolton
Blood Knot and Other Plays,Athol Fugard
Blood Meridian: Or the Evening Redness in the West,Cormac McCarthy
Blood of Elves,Andrzej Sapkowski
Blood of My Brother II: The Face Off,Zoe Woods
Blood on the church house steps,Avery Bond
Blood on the Forge (New York Review Books Classics),William Attaway
Blood Orchid (Holly Barker),Stuart Woods
Blood Red Tide (Deathlands),James Axler
"Blood Shadows: Blackthorn, Book 1",Lindsay J. Pryor
Bloodletting and Miraculous Cures: Stories,Vincent Lam
Bloodshed of the Mountain Man,William W. Johnstone
Bloodstream,Tess Gerritsen
Blow-Up: And Other Stories,Julio Cortazar
"Blowhard: A Steampunk Fairy Tale: The Clockwork Republic Series, Volume 1",Katina French
Blue at the Mizzen (Vol. Book 20)  (Aubrey/Maturin Novels),Patrick O'Brian
"Blue Gold: A Kurt Austin Adventure (A Novel from the NUMA Files, Book 2)",Paul Kemprecos
Blue Horses: Poems,Mary Oliver
Blue Iris: Poems and Essays,Mary Oliver
Blue Jeans and Coffee Beans,Joanne DeMaio
Blue Lines Up In Arms,James Craig Atchison
"Blue Shoes and Happiness (No. 1 Ladies Detective Agency, Book 7)",Alexander McCall Smith
Bluebeard: A Novel (Delta Fiction),Kurt Vonnegut
Bluets,Maggie Nelson
Bodega Dreams,Ernesto Quinonez
Body Awareness,Annie Baker
Body Surfing: A Novel,Anita Shreve
"Bolder Than Bus: Original Poems, Art, Photography, and Music from the Furthur 50th Anniversary Tour to the Undiscovered Planet",Jessica Charnley
Bone,Fae Myenne Ng
Bone Black: Memories of Girlhood,bell hooks
Bones of Home and Other Plays,Charlene A. Donaghy
Boo (Vintage Contemporaries),Neil Smith
"Book Lust To Go: Recommended Reading for Travelers, Vagabonds, and Dreamers",Nancy Pearl
"Book Lust: Recommended Reading for Every Mood, Moment, and Reason",Nancy Pearl
"Book of Haikus (Poets, Penguin)",Jack Kerouac
Book of Hours,Kevin Young
Book of the Hopi,Frank Waters
BOOK REVIEW: All the Light We Cannot See,J.T. Salrich
Books I've Read: Books I Want to Read,Annabel Fraser
"Books of Blood, Vols. 1-3",Clive Barker
"Books of Blood, Vols. 4-6 (v. 2)",Clive Barker
Bootycandy,Robert O'Hara
"Booze, Broads, and Blackjack: A Deadly Combination",Carl Nicita
Borderlands / La Frontera: The New Mestiza,Gloria Anzalda
Borges: Selected Poems,Jorge Luis Borges
Boricuas: Influential Puerto Rican Writings - An Anthology,Roberto Santiago
Born in Fire: Irish Born Trilogy,Nora Roberts
Boss Bitch (Bitch Series),Joy Deja King
Boss Divas,De'nesha Diamond
Boy Who Fell into a Book,Alan Ayckbourn
Boy with Thorn (Pitt Poetry Series),Rickey Laurentiis
"Boy, Snow, Bird: A Novel",Helen Oyeyemi
"Boy, Snow, Bird: A Novel",Helen Oyeyemi
Boy's Life,Robert McCammon
Boyhood: Scenes From Provincial Life,J. M. Coetzee
Boys in the Band,Mart Crowley
Bradbury Stories: 100 of His Most Celebrated Tales,Ray Bradbury
Braided Creek: A Conversation in Poetry,Jim Harrison
Bram Stoker - Dracula (Readers' Guides to Essential Criticism),William Hughes
Bratya Karamazovy - EEEE EE (Russian Edition),Fyodor Dostoevsky
Brave Enough,Cheryl Strayed
Brave New World and Brave New World Revisited,Aldous Huxley
Bread Alone: A Novel,Judith Ryan Hendricks
Breakdown on Bethlehem Street: A Christmas Play,Frank Ramirez
Breakfast at Tiffany's and Three Stories,Truman Capote
Breaking into Japanese Literature: Seven Modern Classics in Parallel Text,Giles Murray
"Breaking News (Godmothers, Book 5) (The Godmothers)",Fern Michaels
Bream Gives Me Hiccups,Jesse Eisenberg
Breath: A Novel,Tim Winton
"Brewer's Dictionary of Phrase and Fable, Seventeenth Edition",John Ayto
"Brian Friel: Plays 2: Dancing at Lughnasa, Fathers and Sons, Making History, Wonderful Tennessee and Molly Sweeney (Contemporary Classics (Faber & Faber)) (v. 2)",Brian Friel
Brick Shakespeare: Four Tragedies & Four Comedies,John McCann
Breathers: A Zombie's Lament,S.G. Browne
"Brick Shakespeare: The ComediesEEA Midsummer NightEEs Dream, The Tempest, Much Ado About Nothing, and The Taming of the Shrew",John McCann
Brickstone,Sim Ciarlo
Brida: A Novel (P.S.),Paulo Coelho
Bride of Pendorric,Victoria Holt
Bridge to Haven,Francine Rivers
Bridget Jones: Mad About the Boy,Helen Fielding
Bridget Jones: Mad About the Boy (Vintage Contemporaries),Helen Fielding
Bridget Jones: the Edge of Reason,Helen Fielding
Brief Interviews with Hideous Men,David Foster Wallace
Bright Dead Things: Poems,Ada Limn
"Bright Lights, Big City",Jay McInerney
Bright Lines: A Novel,Tanwi Nandini Islam
Brightest Heaven of Invention: A Christian Guide To Six Shakespeare Plays,Peter J. Leithart
"Bring Up the Bodies (Wolf Hall, Book 2)",Hilary Mantel
British Library Desk Diary 2016,British Library
British Literature of World War I,Angela K Smith
Broadway Babies Say Goodnight: Musicals Then and Now,Mark Steyn
Broadway Bound,Neil Simon
Broken Hierarchies: Poems 1952-2012,Geoffrey Hill
Brooklyn,Colm Toibin
Brooklyn Fictions: The Contemporary Urban Community in a Global Age (Bloomsbury Studies in the City),James Peacock
Brotherhood of Evil (The Family Jensen),William W. Johnstone
"Brown Girl, Brownstones",Paule Marshall
"Browsings: A Year of Reading, Collecting, and Living with Books",Michael Dirda
Brush Talks from Dream Brook,Shen Kuo
Buddenbrooks: The Decline of a Family,Thomas Mann
Buddhist Animal Wisdom Stories,Mark W. McGinnis
"Buddhist Tales of India, China, and Japan: Indian Section",Yoshiko Dykstra
Buffalo Bird Woman's Garden: Agriculture of the Hidatsa Indians (Borealis Books),Gilbert Wilson
Buffalo Trail: A Novel of the American West,Jeff Guinn
Building: Letters 1960-1975,Isaiah Berlin
Bulfinch's Mythology (Leather-bound Classics),Thomas Bulfinch
Bullets in the Washing Machine,Melissa Littles
Burger's Daughter,Nadine Gordimer
Burning Desire (Dark Kings),Donna Grant
Burning Down George Orwell's House,Andrew Ervin
Burro Genius: A Memoir,Victor Villasenor
Busker: Avazkhan-e Doregard (Persian Edition),Moniro Ravanipour
But Beautiful: A Book About Jazz,Geoff Dyer
"Butch Queens Up in Pumps: Gender, Performance, and Ballroom Culture in Detroit (Triangulations: Lesbian/Gay/Queer Theater/Drama/Performance)",Marlon  M. Bailey
Butcher's Crossing (New York Review Books Classics),John Williams
Butterball (Hesperus Classics),Guy de Maupassant
By Blood We Live,Glen Duncan
By Night in Chile,Roberto Bolao
By The Book: Stories and Pictures,Diane Schoemperlen
"By the Way, Meet Vera Stark (TCG Edition)",Lynn Nottage
Byron's Poetry and Prose (Norton Critical Edition),George Gordon Byron
C. S. Lewis at War: The Dramatic Story Behind Mere Christianity (Radio Theatre),C. S. Lewis
"C. S. Lewis Signature Classics: Mere Christianity, The Screwtape Letters, A Grief Observed, The Problem of Pain, Miracles, and The Great Divorce (Boxed Set)",C. S. Lewis
"C.S. Lewis: The Signature Classics Audio Collection: The Problem of Pain, The Screwtape Letters, The Great Divorce, Mere Christianity",C. S. Lewis
Caballo de Troya 1. Jerusaln (NE) (Caballo De Troya / Trojan Horse) (Spanish Edition),Juan Jos Bentez
Caffe Cino: The Birthplace of Off-Off-Broadway (Theater in the Americas),Wendell C. Stone
Calculating God,Robert J. Sawyer
Caleb,Charles Alverson
"Calico Joe by Grisham, John [Hardcover]",John.. Grisham
Calico Joe: A Novel,John Grisham
California's Wild Edge,Tom Killion
Call It Sleep: A Novel,Henry Roth
Calligraphy Lesson: The Collected Stories,Mikhail Shishkin
Calloustown,George Singleton
Calming The Anxiety Within (The Healing Journal Series),Kaitlyn Storm
